식당 이름,식당 주소
애플하우스 이수,서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호
세녹,서울 동작구 사당로 304
스시로로,서울 동작구 동작대로23길 29
소담촌 사당직영점,서울 동작구 동작대로 43 5층
오센,서울 동작구 동작대로27나길 8
이수회관,서울 동작구 동작대로27가길 40
호요,서울 동작구 동작대로13길 6-7 1층
전주전집,서울 동작구 동작대로7길 19
방배김밥,서울 동작구 동작대로27길 59-16
곱창나라,서울 동작구 동작대로27가길 41 1층
라화방,서울 동작구 동작대로27길 22
호우양꼬치 이수점,서울 동작구 동작대로27다길 9
훈감동,서울 동작구 동작대로9길 4 1층
딥다이브,서울 서초구 방배천로18길 36-5 1층
비엔나커피하우스 이수역점,서울 서초구 동작대로 86 1층
삼육가 사당역1호점,서울 서초구 방배천로 10 1층
신사펍 이수점,서울 동작구 동작대로 129 4층
이수통닭 본점,"서울 서초구 방배천로 92 세앙아르비체 102동 107,108호"
낙성곱창,서울 동작구 동작대로19길 60
남미플랜트랩,서울 서초구 방배천로4안길 55 2층
그릴진,서울 동작구 동작대로27다길 31 세양그레이스빌 1층 101호
디피스트,서울 동작구 동작대로27길 31 2층
리에또,서울 서초구 방배천로4안길 20 2층
단아한정식,서울 동작구 동작대로27가길 44 2층
청와옥 사당직영점,서울 동작구 동작대로 71 1층
올라아보 이수본점,서울 동작구 사당로 300 이수자이 1층 116호
초동집 본점,서울 서초구 방배천로 22
개화,서울 서초구 동작대로 86 동주빌딩 지하 1층
바른식 시골보쌈&감자옹심이 사당역별관점,서울 서초구 방배천로 12
부엌쟁이,서울 동작구 동작대로23길 31
농부쌈밥,서울 동작구 사당로30길 19
리틀크레이지피자,서울 동작구 동작대로27길 9 2층
도너츠윤 방배점,서울 서초구 동광로12가길 12 1층
강고집 사당본점,서울 서초구 방배천로4안길 6 1층
유정우함흥냉면,서울 동작구 동작대로29다길 7-1
정작가의막걸리집,서울 동작구 동작대로33가길 5 1층 3호
초와밥,서울 동작구 동작대로5길 8
남궁야,서울 서초구 방배천로4안길 10
갈비연구소,서울 동작구 동작대로23길 10 1층
어사출또 이수역점,서울 동작구 동작대로27나길 21 1층
요란한부엌,서울 동작구 사당로30길 126 1층
월량,서울 서초구 서초대로 28 장현빌딩 1층
조가네갑오징어 사당점,서울 동작구 남부순환로271길 24
태양커피,서울 서초구 서초대로25길 55 1층
쟝블랑제리,"서울 동작구 동작대로23길 8 1, 2층"
가마솥손두부,서울 동작구 남부순환로271길 20
페니힐스,"서울 동작구 동작대로1길 10-14 1,2층"
스타벅스 이수역점,서울 서초구 동작대로 112 한신 휴플러스 1층
바다해물포차,서울 서초구 서초대로 20 1층
도어이스케이프 이수역점,서울 동작구 동작대로27가길 14 3층
주,서울 서초구 동광로19길 16
정담은,서울 서초구 방배천로2길 15
도쿄빙수 이수점,"서울 동작구 동작대로27길 38 1층 103,104호"
구름떡,서울 서초구 방배로33길 21 1층
이수샤브샤브,서울 동작구 동작대로29길 8 2층
속초어시장 방배점,서울 서초구 방배천로2길 7 1층
다피타시그니처,서울 서초구 서초대로 3-4 방배디오슈페리움1 1층 106호
이수곱창,서울 동작구 동작대로27가길 6-4 1층
규스홈 레스토랑,서울 서초구 방배천로 62 1층
수향가 사당직영점,서울 서초구 남부순환로 2121-3
방배양곱창,서울 동작구 동작대로23길 27
양양메밀막국수,서울 서초구 동광로15길 10
마왕족발 이수역점,서울 동작구 동작대로25길 43
37.5 동작이수점,서울 동작구 동작대로27가길 23 이오빌딩 2층
샤브리샤브샤브,서울 서초구 방배천로2길 21 성현빌딩 3층
원조부안집 이수점,서울 동작구 동작대로27가길 39 1층
머치커피,서울 동작구 동작대로9길 43 1층
태양커피 사당점,서울 서초구 방배천로 32 송암빌딩 1층
김재운초밥사랑 이수점,서울 동작구 동작대로 69 1층
팬쿡 이수점,서울 동작구 동작대로27길 34 2층
파니모들,서울 동작구 동작대로 153 1층
대구형제막창 방배점,서울 서초구 서초대로 22
여진족,"서울 서초구 방배천로4안길 12 지하1층,1층"
토방소곱창,서울 동작구 동작대로7길 11
맥도날드 이수점,서울 동작구 사당로 300
한양왕족발,서울 서초구 방배천로2안길 15
참오리전문점,서울 동작구 사당로 307-10
남성집,서울 동작구 동작대로 127 지하1층
용용선생 이수점,서울 동작구 동작대로27다길 26 1층
정담이깃든사랑채,서울 서초구 방배천로2길 7 2층
헬무트,서울 서초구 방배천로6길 3-10 1층
라무진 이수점,서울 동작구 동작대로27길 16-5 1층
김부삼 사당역점,서울 서초구 방배천로4길 20 1~3층
스타벅스 이수역사거리점,서울 서초구 서초대로 3-4
인기명 이수점,서울 서초구 방배천로 92 109~112호
보태닉마켓,서울 서초구 방배천로18길 20 1층
이태리양조장,서울 동작구 동작대로27가길 26 2층
남해안활어,서울 동작구 사당로30길 157
싱싱오동도 산아나고산꼼장어 숯불구이 이수방배본점,서울 서초구 서초대로 3-4 방배디오슈페리움1차 103호
라시에스타,서울 동작구 동작대로 21 양지빌딩 6층
현고대닭발 사당점,서울 동작구 동작대로23길 25
정원에프엔비,서울 동작구 사당로28길 5 1층
막걸리학교,서울 동작구 동작대로25길 41
수연숯불갈비,서울 동작구 동작대로27다길 5 1층
미소네,서울 동작구 동작대로7길 32 1층
장미맨숀 이수점,서울 동작구 동작대로23길 15 1층
구뜰집,서울 서초구 서초대로23길 14 1층
오다가다,서울 동작구 동작대로35길 10 1층
남도술상,서울 서초구 방배천로 12-11 지하1층
홍미단 방배본점,서울 서초구 효령로31길 94
이고집쭈꾸미 이수점,서울 동작구 동작대로27다길 2 1층
쿠킨스테이크 이수점,서울 동작구 동작대로27다길 44 2층 
본때 이수점,"서울 동작구 동작대로27다길 29 1층 103,104호"
교대이층집 사당점,서울 서초구 방배천로 12-9 2층
한울갈비,서울 동작구 동작대로1길 9 1층
순대만드는집,서울 서초구 방배천로8길 6-2
시스트로,서울 서초구 방배천로24길 25 시현빌 1층 101호
용범이네인계동껍데기,서울 동작구 동작대로25길 22
코다차야 사당점,서울 서초구 방배천로2길 7 지하1층
크래프트한스 이수점,서울 동작구 동작대로27길 42
역전할머니맥주 이수역점,서울 동작구 동작대로27다길 26 1층
카페오쎄,"서울 서초구 방배천로4안길 32 1,2층"
엔제리너스 이수역점,서울 동작구 동작대로25길 16
땡초우동인포차 이수본점,서울 동작구 동작대로27다길 37
군산 은모래해물탕아구찜 본점,서울 서초구 방배천로4길 8
놀란돼지 이수점,서울 동작구 동작대로17길 6 1층
고놈들,서울 동작구 동작대로27나길 20 1층
왕금성 이수역점,서울 서초구 서초대로 3-4 디오슈페리움 1차 203호
올리브에비뉴,서울 서초구 방배천로 11 파스텔시티 6층
모소리 사당점,서울 동작구 사당로 243-5 1층
통영해물보쌈,서울 서초구 방배천로4길 26
돈키,서울 서초구 방배천로18길 10
요코쵸,서울 동작구 사당로30길 100
언니가 숨겨놓은 과자상자,서울 서초구 방배천로8길 36 1층
조개창고 방배점,서울 서초구 방배로 147 내방빌딩 3층
쇼보 이수점,서울 동작구 동작대로25길 32 2층
제줏간 이수점,서울 동작구 동작대로27길 22 1층
낯선한식븟다,서울 동작구 사당로30길 28 1층
영풍치킨 사당본점,서울 동작구 동작대로27가길 6
루키더셰프,서울 서초구 방배천로16길 18
오늘와인한잔 이수점,서울 동작구 동작대로27다길 29 서광시티뷰 1층 101호
스시코에,서울 서초구 서초대로 17
호시라멘,서울 서초구 방배천로2안길 39 1층
천하무족,서울 동작구 동작대로7길 74 1층
팔각도 이수역점,서울 동작구 동작대로27다길 12 1층
해이케이크샵,서울 서초구 방배천로2안길 69 1층 103호
통영바다풍경 방배1호점,서울 서초구 방배천로4안길 55 1층
1357철판삼겹,서울 서초구 방배천로4길 15-17 지하 1층
콘크리트,서울 동작구 동작대로27나길 14
서호김밥 본점,서울 서초구 방배중앙로 141-1
맛찬들왕소금구이 이수점,서울 동작구 동작대로27길 16-4 1층
무삥과팟타이,서울 동작구 동작대로27다길 20 2층
정원조닭한마리 본점,서울 동작구 동작대로27다길 11
훈장골 사당점,서울 동작구 동작대로 7 신광빌딩 지하1층
곽반장,서울 동작구 동작대로27가길 45
호왕,서울 서초구 서초대로 91
도쿄하나 사당점,서울 서초구 방배천로 11 파스텔 시티 3층
호시,서울 서초구 서초대로1길 19-6 1층
송이하랑,서울 서초구 서초대로 21
투썸플레이스 이수역사거리점,"서울 서초구 서초대로 2 이수파이브 1,2층"
스시세이,서울 동작구 동작대로13길 10 A동 1층
카페페라,서울 서초구 방배천로 11 1층
차이루,서울 동작구 동작대로27길 23 2층
소라노호시,서울 동작구 동작대로27길 16-5 1층
해미수산회정식,서울 동작구 사당로 295 1층
24시비사벌 전주콩나물국밥,서울 서초구 동광로10길 2
깔리 사당점,서울 서초구 방배천로 21 동화빌딩 4층
이수명가부대찌개 이수역점,서울 동작구 동작대로27가길 42
경성모밀,서울 동작구 동작대로29가길 6 1층
명륜진사갈비 서울사당점,서울 동작구 사당로23길 6 1층
묘오또,서울 서초구 방배로28길 16
김영희강남동태찜 이수점,서울 서초구 서초대로 3-4 디오슈페리움 1차 지하1층
여정막걸리,서울 동작구 동작대로3길 10
이수한우명가,서울 동작구 사당로 300 이수자이상가 1층
미스피츠,서울 동작구 동작대로3길 30 1층
차이797 블랙 서래마을점,"서울 서초구 동광로 78 방배빌딩 1,2층"
복돈이부추삼겹살 사당본점,서울 관악구 남현1길 68-14 남현빌딩 1층
스타벅스 이수자이점,서울 동작구 사당로 300
바른황소곱창,서울 동작구 동작대로7길 4
산쪼메 이수점,서울 동작구 사당로 300 이수자이 지하2층 B202호
해물한소반 사당직영점,서울 동작구 동작대로1길 18 1층
황토가마솥설렁탕,서울 동작구 동작대로29가길 8
장수원,서울 서초구 방배중앙로 153
영일만,서울 동작구 남부순환로271길 27
작은피자집,서울 동작구 사당로30길 96
선화의고기 방배본점,서울 서초구 서초대로24길 9 1층
명동칼국수,서울 서초구 방배천로 12
리프레셔스,서울 서초구 청두곶6길 8 1층
사당양꼬치,서울 동작구 사당로30길 163
미스사이공 이수점,서울 서초구 동작대로 108 디오슈페리움2 1층 102호
박은자맛사랑,서울 서초구 방배천로2안길 7 2층
거북이,서울 서초구 방배천로4안길 48 1층
로코민트,서울 서초구 방배천로2안길 48 1층
참숯고깃골,서울 서초구 방배천로8길 5
지금보고싶다 이수점,서울 동작구 동작대로27가길 26
스타벅스 사당역점,서울 동작구 동작대로 21 양지빌딩 1~3층
경성상회 방배점,서울 서초구 방배천로 12-3
모녀당,서울 서초구 방배천로2안길 110 102호
바르미샤브샤브n칼국수 사당점,서울 서초구 방배천로 11 파스텔씨티 2층 202-2호
책그리고,서울 서초구 방배천로 132
육갑식당 방배본점,서울 서초구 방배중앙로 166 1층
용주골생고기정육식당,서울 동작구 동작대로17길 5 1층
럭키갈비찜,서울 동작구 사당로29길 2 1층
외양간,서울 동작구 동작대로11길 16 1층
홍두깨손칼국수,서울 동작구 동작대로29나길 10
정애맛담,서울 동작구 동작대로29나길 10 1층
이수산더미,서울 동작구 사당로 307-12 1층
바이젠하우스 서울 방배1호점,서울 서초구 동작대로 22
미구,서울 서초구 방배천로4길 15-3
기꾸참치,서울 동작구 남부순환로271길 14 2층
흑산도홍탁,서울 서초구 방배천로 44
메종 엠오 방배본점,서울 서초구 방배로26길 22 1층
권참치 사당점,서울 동작구 사당로30길 142 2층
72420 사당본점,서울 동작구 동작대로1길 50 1층
100족발,서울 동작구 사당로30길 154
원조추어탕,서울 동작구 동작대로33가길 4
고흥이모네전집,서울 동작구 동작대로7길 24
군선생 이수역9번출구점,서울 동작구 동작대로23길 17
동명 IZAKAYA,서울 관악구 남현1길 42 남현빌딩 4층
여수밤바다,서울 동작구 동작대로25길 27 1층
페이브 방배점,서울 서초구 서초대로25길 32 엠아이빌딩 1층
맛집부추곱창 사당점,서울 서초구 방배천로2길 37
일출횟집,서울 서초구 서초대로 30 현진빌딩 1층 1호
방배반점,서울 서초구 방배천로16길 4 1층
아구랜드 방배점,서울 서초구 서초대로 68
계림닭한마리,서울 동작구 사당로30길 103
고반식당 이수역점,서울 동작구 동작대로27가길 15 1층
엔터하츠,서울 서초구 동광로 11 빈센트빌딩 1층
투썸플레이스 이수역점,"서울 동작구 동작대로27길 28 2,3층"
릿 잇 타미,서울 서초구 방배천로2안길 31 1층
솔라스,서울 서초구 방배천로18길 26
샘골참숯불막창구이,서울 서초구 방배천로16길 21
오늘와인한잔 사당점,서울 서초구 방배천로4길 15
할리스 이수역점,서울 동작구 동작대로 83 헤라피스빌딩 1층
하노이별 사당점,서울 동작구 사당로30길 97 1층
남산터 이수점,서울 서초구 동작대로 68 1층
키친피콜로,서울 서초구 방배천로4안길 45
북경양꼬치,서울 동작구 동작대로27길 32 1층
버거307 이수점,서울 서초구 방배천로18길 16
우리황소곱창,서울 서초구 방배천로2길 41
7%칠백식당 방배직영점,서울 서초구 방배로27길 12
떡마당떡집,서울 서초구 방배로23길 22
제이콥참치,서울 동작구 동작대로3길 10 3층
맛집곱창구이,서울 서초구 방배천로2안길 23 1층
만화카페쉼표,서울 동작구 사당로 295 지하1층
돼지굴뚝,서울 동작구 동작대로25길 51
참치마니아,서울 동작구 동작대로7길 12 2층
너땜에한잔,서울 서초구 방배천로2안길 23
탐나종합어시장 이수역점,서울 동작구 동작대로 141 1층
리얼양꼬치,서울 동작구 동작대로27길 22 1층
심비디움2 사당점,서울 서초구 방배천로 11 5층
왕돈까스&왕냉면 이수점,서울 동작구 사당로30길 9-1 1층
김가네칼국수,서울 서초구 서초대로1길 15
미사키혼술 이수본점,서울 동작구 동작대로25길 24 1층
카페좋아진다,서울 동작구 사당로26길 87 1층
방배한가람김밥,서울 동작구 동작대로7길 55
이즈키친,서울 동작구 동작대로27길 19
일상다반사,서울 동작구 동작대로25길 60-1
종로곱창,서울 동작구 동작대로29길 13
상도늘보리 이수점,서울 동작구 동작대로31길 3
마포집,서울 동작구 동작대로27길 6
